programAk,tradeName,displayTradeName,promptTradeName,socCode,description
20,Boilermaker (Construction),Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
32,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
33,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
64,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
96,Landscape Nursery Manager,Landscape Nursery Manager,Landscape Nursery Manager,37-3011.00,"A Landscape Nursery Manager runs a nursery that grows trees, shrubs, flowers, and other outdoor plants for yards and public spaces. They plan planting schedules, oversee watering, pruning, fertilizing, pest control, and loading orders, while directing staff and checking plant quality. Their work keeps landscapes supplied with healthy plants that improve outdoor spaces."
107,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
114,Tile Setter (3 Year),Tile Setter,Tile Setter (),47-2044.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and other buildings. They measure spaces, spread adhesive, cut tile to fit around corners and pipes, set each piece in place, and finish joints with grout. Their work creates durable, easy-to-clean surfaces and helps keep rooms protected from wear and water."
133,Industrial Manufacturing Technician,Industrial Manufacturing Technician,Industrial Manufacturing Technician,17-3026.00,"An Industrial Manufacturing Technician sets up, runs, and monitors machines that make parts and products in factories. They load materials, check measurements, adjust equipment, replace worn tools, and inspect finished items for quality while keeping the work area clean and safe. Their work keeps production lines running, products consistent, and equipment working properly."
176,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
177,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
