sourceUrl,regions,notes
https://dol.ny.gov/news/area-sheet-metal-workers-jatc-lu112-elmira-0,"[""Southern Tier"", ""Western New York""]",locationSummary: region 'western new york' -> Western New York | locationSummary: region 'southern tier' -> Southern Tier
https://dol.ny.gov/news/asbestos-workers-jac-lu-91-0,"[""Hudson Valley""]",allRequirements: county_name 'westchester' -> Hudson Valley | allRequirements: county_name 'dutchess' -> Hudson Valley | allRequirements: county_name 'rockland' -> Hudson Valley | allRequirements: county_name 'orange' -> Hudson Valley | allRequirements: county_name 'putnam' -> Hudson Valley
https://dol.ny.gov/news/bac-local-1-hudson-valley,"[""Hudson Valley""]",locationSummary: locality 'newburgh' -> Hudson Valley
https://dol.ny.gov/news/boilermakers-northeastern-jac-local-5-zone-7-0,"[""Finger Lakes"", ""Southern Tier"", ""Western New York""]",locationSummary: region 'southern tier' -> Southern Tier | locationSummary: region 'finger lakes' -> Finger Lakes | locationSummary: region 'western' -> Western New York
https://dol.ny.gov/news/boilermakers-northeastern-jac-lu-5-zone-197,"[""Capital Region""]",locationSummary: alias 'albany' -> Capital Region
https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-oswego-0,"[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",residencyRequirement: county_name 'st lawrence' -> North Country | residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'jefferson' -> North Country | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'onondaga' -> Central New York | residencyRequirement: county_name 'herkimer' -> Mohawk Valley | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'madison' -> Central New York | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'oswego' -> Central New York | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'oneida' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | residencyRequirement: county_name 'lewis' -> North Country | allRequirements: county_name 'st lawrence' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'jefferson' -> North Country | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'onondaga' -> Central New York | allRequirements: county_name 'herkimer' -> Mohawk Valley | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'madison' -> Central New York | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'oswego' -> Central New York | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'oneida' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country | allRequirements: county_name 'lewis' -> North Country
https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,"[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",residencyRequirement: county_name 'st lawrence' -> North Country | residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'jefferson' -> North Country | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'onondaga' -> Central New York | residencyRequirement: county_name 'herkimer' -> Mohawk Valley | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'madison' -> Central New York | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'oswego' -> Central New York | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'oneida' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | residencyRequirement: county_name 'lewis' -> North Country | allRequirements: county_name 'st lawrence' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'jefferson' -> North Country | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'onondaga' -> Central New York | allRequirements: county_name 'herkimer' -> Mohawk Valley | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'madison' -> Central New York | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'oswego' -> Central New York | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'oneida' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country | allRequirements: county_name 'lewis' -> North Country
https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-utica-0,"[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",residencyRequirement: county_name 'st lawrence' -> North Country | residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'jefferson' -> North Country | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'onondaga' -> Central New York | residencyRequirement: county_name 'herkimer' -> Mohawk Valley | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'madison' -> Central New York | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'oswego' -> Central New York | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'oneida' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | residencyRequirement: county_name 'lewis' -> North Country | allRequirements: county_name 'st lawrence' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'jefferson' -> North Country | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'onondaga' -> Central New York | allRequirements: county_name 'herkimer' -> Mohawk Valley | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'madison' -> Central New York | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'oswego' -> Central New York | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'oneida' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country | allRequirements: county_name 'lewis' -> North Country
https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-albany-0,"[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",locationSummary: region 'capital district' -> Capital Region | locationSummary: region 'mohawk valley' -> Mohawk Valley | locationSummary: region 'north country' -> North Country | residencyRequirement: county_name 'st lawrence' -> North Country | residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'jefferson' -> North Country | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'onondaga' -> Central New York | residencyRequirement: county_name 'herkimer' -> Mohawk Valley | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'madison' -> Central New York | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'oswego' -> Central New York | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'oneida' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | residencyRequirement: county_name 'lewis' -> North Country | allRequirements: county_name 'st lawrence' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'jefferson' -> North Country | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'onondaga' -> Central New York | allRequirements: county_name 'herkimer' -> Mohawk Valley | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'madison' -> Central New York | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'oswego' -> Central New York | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'oneida' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country | allRequirements: county_name 'lewis' -> North Country
https://dol.ny.gov/news/bricklayers-allied-craftworkers-local-2-ogdensburg-0,"[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",residencyRequirement: county_name 'st lawrence' -> North Country | residencyRequirement: county_name 'schenectady' -> Capital Region | residencyRequirement: county_name 'rensselaer' -> Capital Region | residencyRequirement: county_name 'washington' -> Capital Region | residencyRequirement: county_name 'montgomery' -> Mohawk Valley | residencyRequirement: county_name 'schoharie' -> Mohawk Valley | residencyRequirement: county_name 'jefferson' -> North Country | residencyRequirement: county_name 'columbia' -> Capital Region | residencyRequirement: county_name 'saratoga' -> Capital Region | residencyRequirement: county_name 'onondaga' -> Central New York | residencyRequirement: county_name 'herkimer' -> Mohawk Valley | residencyRequirement: county_name 'franklin' -> North Country | residencyRequirement: county_name 'hamilton' -> North Country | residencyRequirement: county_name 'madison' -> Central New York | residencyRequirement: county_name 'clinton' -> North Country | residencyRequirement: county_name 'albany' -> Capital Region | residencyRequirement: county_name 'greene' -> Capital Region | residencyRequirement: county_name 'warren' -> Capital Region | residencyRequirement: county_name 'cayuga' -> Central New York | residencyRequirement: county_name 'oswego' -> Central New York | residencyRequirement: county_name 'fulton' -> Mohawk Valley | residencyRequirement: county_name 'oneida' -> Mohawk Valley | residencyRequirement: county_name 'essex' -> North Country | residencyRequirement: county_name 'lewis' -> North Country | allRequirements: county_name 'st lawrence' -> North Country | allRequirements: county_name 'schenectady' -> Capital Region | allRequirements: county_name 'rensselaer' -> Capital Region | allRequirements: county_name 'washington' -> Capital Region | allRequirements: county_name 'montgomery' -> Mohawk Valley | allRequirements: county_name 'schoharie' -> Mohawk Valley | allRequirements: county_name 'jefferson' -> North Country | allRequirements: county_name 'columbia' -> Capital Region | allRequirements: county_name 'saratoga' -> Capital Region | allRequirements: county_name 'onondaga' -> Central New York | allRequirements: county_name 'herkimer' -> Mohawk Valley | allRequirements: county_name 'franklin' -> North Country | allRequirements: county_name 'hamilton' -> North Country | allRequirements: county_name 'madison' -> Central New York | allRequirements: county_name 'clinton' -> North Country | allRequirements: county_name 'albany' -> Capital Region | allRequirements: county_name 'greene' -> Capital Region | allRequirements: county_name 'warren' -> Capital Region | allRequirements: county_name 'cayuga' -> Central New York | allRequirements: county_name 'oswego' -> Central New York | allRequirements: county_name 'fulton' -> Mohawk Valley | allRequirements: county_name 'oneida' -> Mohawk Valley | allRequirements: county_name 'essex' -> North Country | allRequirements: county_name 'lewis' -> North Country
